specimen1	bone1	side1	specimen2	bone2	side2	shape_difference
BMNH_1953.12.1.18	pelvic	left	USNM_504920	pelvic	right	2.434466
BMNH_1953.12.1.18	pelvic	left	USNM_550042	pelvic	left	2.139535
BMNH_1953.12.1.18	pelvic	left	USNM_550312	pelvic	left	2.072594
BMNH_1953.12.1.18	pelvic	left	USNM_550312	pelvic	right	2.173846
BMNH_1953.12.1.18	pelvic	left	USNM_550389	pelvic	left	1.676934
BMNH_1953.12.1.18	pelvic	left	USNM_550389	pelvic	right	1.768829
BMNH_1953.12.1.18	pelvic	left	USNM_550391	pelvic	left	2.771210
BMNH_1953.12.1.18	pelvic	left	USNM_550391	pelvic	right	2.242617
BMNH_1953.12.1.18	pelvic	left	USNM_550401	pelvic	left	2.662112
BMNH_1953.12.1.18	pelvic	left	USNM_550401	pelvic	right	2.782572
BMNH_1953.12.1.18	pelvic	left	USNM_550422	pelvic	left	2.098390
BMNH_1953.12.1.18	pelvic	left	USNM_550422	pelvic	right	2.253446
BMNH_1953.12.1.18	pelvic	left	USNM_550837	pelvic	left	2.344262
BMNH_1953.12.1.18	pelvic	left	USNM_550837	pelvic	right	2.349084
BMNH_1953.12.1.18	pelvic	left	USNM_550919	pelvic	left	1.941330
BMNH_1953.12.1.18	pelvic	left	USNM_550919	pelvic	right	1.634650
BMNH_1953.12.1.18	pelvic	left	USNM_550995	pelvic	left	2.432986
BMNH_1953.12.1.18	pelvic	left	USNM_550995	pelvic	right	2.091665
BMNH_1953.12.1.18	pelvic	left	USNM_571051	pelvic	left	2.354512
BMNH_1953.12.1.18	pelvic	left	USNM_571051	pelvic	right	2.588440
BMNH_1953.12.1.18	pelvic	left	USNM_571086	pelvic	left	1.953295
BMNH_1953.12.1.18	pelvic	left	USNM_571086	pelvic	right	2.039140
BMNH_1953.12.1.18	pelvic	left	USNM_571268	pelvic	left	2.335527
BMNH_1953.12.1.18	pelvic	left	USNM_571268	pelvic	right	2.338107
BMNH_1953.12.1.18	pelvic	left	USNM_571327	pelvic	left	2.156904
BMNH_1953.12.1.18	pelvic	left	USNM_571327	pelvic	right	2.247314
BMNH_1953.12.1.18	pelvic	left	USNM_571388	pelvic	left	2.299545
BMNH_1953.12.1.18	pelvic	left	USNM_571388	pelvic	right	1.926442
BMNH_1953.12.1.18	pelvic	left	USNM_571390	pelvic	left	1.924793
BMNH_1953.12.1.18	pelvic	left	USNM_571390	pelvic	right	2.252829
BMNH_1953.12.1.18	pelvic	left	USNM_571521	pelvic	left	2.133596
BMNH_1953.12.1.18	pelvic	left	USNM_571521	pelvic	right	1.986724
BMNH_1953.12.1.18	pelvic	left	USNM_571709	pelvic	left	2.192522
BMNH_1953.12.1.18	pelvic	left	USNM_571709	pelvic	right	2.415733
BMNH_1953.12.1.18	pelvic	left	USNM_571723	pelvic	left	2.273693
BMNH_1953.12.1.18	pelvic	left	USNM_571723	pelvic	right	2.152765
BMNH_1953.12.1.18	pelvic	left	USNM_572629	pelvic	left	2.334974
BMNH_1953.12.1.18	pelvic	left	USNM_572629	pelvic	right	2.292081
BMNH_1953.12.1.18	pelvic	left	USNM_572632	pelvic	left	2.074940
BMNH_1953.12.1.18	pelvic	left	USNM_572632	pelvic	right	2.272592
BMNH_1953.12.1.18	pelvic	left	USNM_572775	pelvic	left	2.274906
BMNH_1953.12.1.18	pelvic	left	USNM_572775	pelvic	right	2.450760
BMNH_1953.12.1.18	pelvic	left	USNM_572776	pelvic	left	2.105944
BMNH_1953.12.1.18	pelvic	left	USNM_572776	pelvic	right	2.374337
BMNH_1953.12.1.18	pelvic	left	USNM_572777	pelvic	left	1.886129
BMNH_1953.12.1.18	pelvic	left	USNM_572777	pelvic	right	1.678521
BMNH_1953.12.1.18	pelvic	left	USNM_572785	pelvic	left	1.700710
BMNH_1953.12.1.18	pelvic	left	USNM_572785	pelvic	right	1.976314
BMNH_1953.12.1.18	pelvic	left	USNM_572859	pelvic	left	1.604130
BMNH_1953.12.1.18	pelvic	left	USNM_572859	pelvic	right	1.529555
BMNH_1953.12.1.18	pelvic	left	USNM_572871	pelvic	right	2.293119
BMNH_1953.12.1.18	pelvic	left	USNM_572949	pelvic	left	2.160890
BMNH_1953.12.1.18	pelvic	left	USNM_572949	pelvic	right	2.332955
BMNH_1953.12.1.18	pelvic	left	USNM_572980	pelvic	left	2.347421
BMNH_1953.12.1.18	pelvic	left	USNM_572980	pelvic	right	2.299372
BMNH_1953.12.1.18	pelvic	left	USNM_593406	pelvic	left	2.084004
BMNH_1953.12.1.18	pelvic	left	USNM_593406	pelvic	right	2.032817
BMNH_1953.12.1.18	pelvic	left	USNM_A20971	pelvic	left	2.553804
BMNH_1953.12.1.18	pelvic	left	USNM_A20971	pelvic	right	2.407788
BMNH_1953.12.1.18	pelvic	left	USNM_A49599	pelvic	left	2.477826
BMNH_1953.12.1.18	pelvic	left	USNM_A49599	pelvic	right	2.452515
BMNH_1953.12.1.18	pelvic	left	UWBM_35430	pelvic	left	2.317626
BMNH_1953.12.1.18	pelvic	right	BMNH_1953.12.1.19	pelvic	left	1.410199
BMNH_1953.12.1.18	pelvic	right	CCSN_04-141	pelvic	left	2.175840
BMNH_1953.12.1.18	pelvic	right	CCSN_04-141	pelvic	right	1.396082
BMNH_1953.12.1.18	pelvic	right	LACM_19590	pelvic	left	1.341789
BMNH_1953.12.1.18	pelvic	right	LACM_19590	pelvic	right	1.732957
BMNH_1953.12.1.18	pelvic	right	LACM_27074	pelvic	left	1.798176
BMNH_1953.12.1.18	pelvic	right	LACM_27074	pelvic	right	1.775201
BMNH_1953.12.1.18	pelvic	right	LACM_31144	pelvic	left	1.626117
BMNH_1953.12.1.18	pelvic	right	LACM_31144	pelvic	right	1.796956
BMNH_1953.12.1.18	pelvic	right	LACM_47143	pelvic	left	3.454952
BMNH_1953.12.1.18	pelvic	right	LACM_47143	pelvic	right	3.124864
BMNH_1953.12.1.18	pelvic	right	LACM_54012	pelvic	left	1.800183
BMNH_1953.12.1.18	pelvic	right	LACM_54012	pelvic	right	1.736664
BMNH_1953.12.1.18	pelvic	right	LACM_54043	pelvic	left	2.458381
BMNH_1953.12.1.18	pelvic	right	LACM_54043	pelvic	right	2.391518
BMNH_1953.12.1.18	pelvic	right	LACM_54090	pelvic	left	1.566399
BMNH_1953.12.1.18	pelvic	right	LACM_54090	pelvic	right	1.471284
BMNH_1953.12.1.18	pelvic	right	LACM_54420	pelvic	left	2.446833
BMNH_1953.12.1.18	pelvic	right	LACM_54420	pelvic	right	1.799817
BMNH_1953.12.1.18	pelvic	right	LACM_54569	pelvic	left	1.911121
BMNH_1953.12.1.18	pelvic	right	LACM_54569	pelvic	right	1.967442
BMNH_1953.12.1.18	pelvic	right	LACM_72437	pelvic	left	1.491102
BMNH_1953.12.1.18	pelvic	right	LACM_72437	pelvic	right	1.436604
BMNH_1953.12.1.18	pelvic	right	LACM_72438	pelvic	left	2.192891
BMNH_1953.12.1.18	pelvic	right	LACM_72438	pelvic	right	2.176162
BMNH_1953.12.1.18	pelvic	right	LACM_72455	pelvic	left	1.635994
BMNH_1953.12.1.18	pelvic	right	LACM_72455	pelvic	right	1.564041
BMNH_1953.12.1.18	pelvic	right	LACM_72546	pelvic	left	2.427925
BMNH_1953.12.1.18	pelvic	right	LACM_72546	pelvic	right	2.138933
BMNH_1953.12.1.18	pelvic	right	LACM_72591	pelvic	left	2.689008
BMNH_1953.12.1.18	pelvic	right	LACM_72591	pelvic	right	2.332218
BMNH_1953.12.1.18	pelvic	right	LACM_84047	pelvic	left	2.184995
BMNH_1953.12.1.18	pelvic	right	LACM_84047	pelvic	right	2.343467
BMNH_1953.12.1.18	pelvic	right	LACM_84048	pelvic	left	3.176076
BMNH_1953.12.1.18	pelvic	right	LACM_84048	pelvic	right	3.505925
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP10	pelvic	right	2.121823
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP1	pelvic	right	2.043926
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP2	pelvic	right	2.079805
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP3	pelvic	right	2.056320
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP4	pelvic	right	2.040195
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP5	pelvic	right	2.099365
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP6	pelvic	right	2.115157
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP7	pelvic	right	2.066958
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP8	pelvic	right	2.114730
BMNH_1953.12.1.18	pelvic	right	LACM_84071REP9	pelvic	right	2.117065
BMNH_1953.12.1.18	pelvic	right	LACM_84071	pelvic	left	2.149078
BMNH_1953.12.1.18	pelvic	right	LACM_84071	pelvic	right	2.129232
BMNH_1953.12.1.18	pelvic	right	LACM_84072REP2	pelvic	left	2.219380
BMNH_1953.12.1.18	pelvic	right	LACM_84072REP2	pelvic	right	2.482763
BMNH_1953.12.1.18	pelvic	right	LACM_84072	pelvic	left	2.261347
BMNH_1953.12.1.18	pelvic	right	LACM_84072	pelvic	right	2.413472
BMNH_1953.12.1.18	pelvic	right	LACM_84073	pelvic	left	2.266719
BMNH_1953.12.1.18	pelvic	right	LACM_84073	pelvic	right	2.516006
BMNH_1953.12.1.18	pelvic	right	LACM_84076	pelvic	left	2.121382
BMNH_1953.12.1.18	pelvic	right	LACM_84076	pelvic	right	2.078195
BMNH_1953.12.1.18	pelvic	right	LACM_84086	pelvic	left	1.754501
BMNH_1953.12.1.18	pelvic	right	LACM_84086	pelvic	right	1.842911
BMNH_1953.12.1.18	pelvic	right	LACM_84127	pelvic	left	2.128749
BMNH_1953.12.1.18	pelvic	right	LACM_84127	pelvic	right	2.322096
